[unsup] epoch 279/800  loss=7775.6849
[unsup] epoch 280/800  loss=7826.4644
[unsup] epoch 281/800  loss=7802.4044
[unsup] epoch 282/800  loss=7924.2459
[unsup] epoch 283/800  loss=8491.3415
[unsup] epoch 284/800  loss=8294.4916
[unsup] epoch 285/800  loss=7947.8832
[unsup] epoch 286/800  loss=8000.0233
[unsup] epoch 287/800  loss=7595.4370
[unsup] epoch 288/800  loss=7661.5498
[unsup] epoch 289/800  loss=7719.7762
[unsup] epoch 290/800  loss=8093.0411
[unsup] epoch 291/800  loss=8800.0301
[unsup] epoch 292/800  loss=7696.5127
[unsup] epoch 293/800  loss=7628.7148
[unsup] epoch 294/800  loss=7826.5580
[unsup] epoch 295/800  loss=8264.4235
[unsup] epoch 296/800  loss=7668.6994
[unsup] epoch 297/800  loss=7518.8413
[unsup] epoch 298/800  loss=7702.1660
[unsup] epoch 299/800  loss=7702.6107
[unsup] epoch 300/800  loss=7587.4323
[unsup] epoch 301/800  loss=7890.2908
[unsup] epoch 302/800  loss=7679.2686
[unsup] epoch 303/800  loss=8048.3269
[unsup] epoch 304/800  loss=8130.2453
[unsup] epoch 305/800  loss=7912.1625
[unsup] epoch 306/800  loss=7549.8589
[unsup] epoch 307/800  loss=7515.8383
[unsup] epoch 308/800  loss=7565.9819
[unsup] epoch 309/800  loss=8350.4376
[unsup] epoch 310/800  loss=7828.0402
[unsup] epoch 311/800  loss=7654.3712
[unsup] epoch 312/800  loss=7649.2668
[unsup] epoch 313/800  loss=7561.5441
[unsup] epoch 314/800  loss=7622.6111
[unsup] epoch 315/800  loss=8091.0587
[unsup] epoch 316/800  loss=7826.8285
[unsup] epoch 317/800  loss=7622.7775
[unsup] epoch 318/800  loss=7449.3394
[unsup] epoch 319/800  loss=7492.4441
[unsup] epoch 320/800  loss=7644.2324
[unsup] epoch 321/800  loss=7890.1919
[unsup] epoch 322/800  loss=7753.2217
[unsup] epoch 323/800  loss=7452.9228
[unsup] epoch 324/800  loss=7563.5140
[unsup] epoch 325/800  loss=7650.2364
